figure,evidence_tier,dataset,model,metric,value,source,note
01_final_standard_absolute,final,VoiceBank-DEMAND standard test,Noisy,enhanced_pesq,1.968423450456082,results/v14/replication_evaluation/standard/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_standard_absolute,final,VoiceBank-DEMAND standard test,V13,enhanced_pesq,2.5468623769804113,results/v14/replication_evaluation/standard/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_standard_absolute,final,VoiceBank-DEMAND standard test,V14.2,enhanced_pesq,2.617551347632624,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_standard_absolute,final,VoiceBank-DEMAND standard test,Noisy,enhanced_si_sdr,8.445524375391242,results/v14/replication_evaluation/standard/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_standard_absolute,final,VoiceBank-DEMAND standard test,V13,enhanced_si_sdr,18.21348137724361,results/v14/replication_evaluation/standard/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_standard_absolute,final,VoiceBank-DEMAND standard test,V14.2,enhanced_si_sdr,18.201909385838558,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_standard_absolute,final,VoiceBank-DEMAND standard test,Noisy,enhanced_stoi,0.9210611297461423,results/v14/replication_evaluation/standard/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_standard_absolute,final,VoiceBank-DEMAND standard test,V13,enhanced_stoi,0.9343039269146419,results/v14/replication_evaluation/standard/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_standard_absolute,final,VoiceBank-DEMAND standard test,V14.2,enhanced_stoi,0.9369179157665819,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_standard_absolute,final,VoiceBank-DEMAND standard test,Noisy,enhanced_estoi,0.7867263508739356,results/v14/replication_evaluation/standard/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_standard_absolute,final,VoiceBank-DEMAND standard test,V13,enhanced_estoi,0.8386351657234986,results/v14/replication_evaluation/standard/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_standard_absolute,final,VoiceBank-DEMAND standard test,V14.2,enhanced_estoi,0.841049526113485,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_external_absolute,final,DNS1 independent external set,Noisy,enhanced_pesq,1.5822388116518658,results/v14/replication_evaluation/external/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_external_absolute,final,DNS1 independent external set,V13,enhanced_pesq,1.7826359793874953,results/v14/replication_evaluation/external/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_external_absolute,final,DNS1 independent external set,V14.2,enhanced_pesq,1.8421008311377631,results/v14/replication_evaluation/external/v14_2_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_external_absolute,final,DNS1 independent external set,Noisy,enhanced_si_sdr,9.229536561695083,results/v14/replication_evaluation/external/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_external_absolute,final,DNS1 independent external set,V13,enhanced_si_sdr,11.446905881431368,results/v14/replication_evaluation/external/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_external_absolute,final,DNS1 independent external set,V14.2,enhanced_si_sdr,11.576007073256704,results/v14/replication_evaluation/external/v14_2_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_external_absolute,final,DNS1 independent external set,Noisy,enhanced_stoi,0.9151854128107001,results/v14/replication_evaluation/external/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_external_absolute,final,DNS1 independent external set,V13,enhanced_stoi,0.8983905003204656,results/v14/replication_evaluation/external/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_external_absolute,final,DNS1 independent external set,V14.2,enhanced_stoi,0.9053494461573385,results/v14/replication_evaluation/external/v14_2_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_external_absolute,final,DNS1 independent external set,Noisy,enhanced_estoi,0.8098773676685939,results/v14/replication_evaluation/external/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_external_absolute,final,DNS1 independent external set,V13,enhanced_estoi,0.8166538636961276,results/v14/replication_evaluation/external/v13_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
01_final_external_absolute,final,DNS1 independent external set,V14.2,enhanced_estoi,0.8235888292331074,results/v14/replication_evaluation/external/v14_2_aggregate.json,Three-seed hierarchical mean; bars show 95% CI.
02_v14_2_paired_deltas,final,VoiceBank-DEMAND,V14.2 − V13,enhanced_pesq,0.07068897065221298,results/v14/replication_evaluation/standard/v14_2_vs_v13_paired_hierarchical.json,"Paired hierarchical 95% CI: [0.05828068932958405, 0.08260269572530364]"
02_v14_2_paired_deltas,final,DNS1 external,V14.2 − V13,enhanced_pesq,0.05946485175026787,results/v14/replication_evaluation/external/v14_2_vs_v13_paired_hierarchical.json,"Paired hierarchical 95% CI: [0.012142668187618246, 0.11676877760887142]"
02_v14_2_paired_deltas,final,VoiceBank-DEMAND,V14.2 − V13,enhanced_si_sdr,-0.011571991405054926,results/v14/replication_evaluation/standard/v14_2_vs_v13_paired_hierarchical.json,"Paired hierarchical 95% CI: [-0.08164049852820275, 0.06566137599134916]"
02_v14_2_paired_deltas,final,DNS1 external,V14.2 − V13,enhanced_si_sdr,0.12910119182533686,results/v14/replication_evaluation/external/v14_2_vs_v13_paired_hierarchical.json,"Paired hierarchical 95% CI: [-0.32430566447228215, 0.4939165569742508]"
02_v14_2_paired_deltas,final,VoiceBank-DEMAND,V14.2 − V13,enhanced_stoi,0.0026139888519398206,results/v14/replication_evaluation/standard/v14_2_vs_v13_paired_hierarchical.json,"Paired hierarchical 95% CI: [0.0008222618310163164, 0.004772815351731748]"
02_v14_2_paired_deltas,final,DNS1 external,V14.2 − V13,enhanced_stoi,0.006958945836872594,results/v14/replication_evaluation/external/v14_2_vs_v13_paired_hierarchical.json,"Paired hierarchical 95% CI: [-0.004551317334068094, 0.020195980705844375]"
02_v14_2_paired_deltas,final,VoiceBank-DEMAND,V14.2 − V13,enhanced_estoi,0.0024143603899863184,results/v14/replication_evaluation/standard/v14_2_vs_v13_paired_hierarchical.json,"Paired hierarchical 95% CI: [0.00031744698776478884, 0.005627759446165532]"
02_v14_2_paired_deltas,final,DNS1 external,V14.2 − V13,enhanced_estoi,0.0069349655369797605,results/v14/replication_evaluation/external/v14_2_vs_v13_paired_hierarchical.json,"Paired hierarchical 95% CI: [-0.007471902334231206, 0.023977505918011562]"
03_three_seed_robustness,final,VoiceBank-DEMAND,V13 seed 1200,enhanced_pesq,2.564770903112819,results/v14/replication_evaluation/standard/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V13 seed 1201,enhanced_pesq,2.536841167118943,results/v14/replication_evaluation/standard/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V13 seed 1202,enhanced_pesq,2.538975060709472,results/v14/replication_evaluation/standard/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1200,enhanced_pesq,2.6428629592495056,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1201,enhanced_pesq,2.605886751876294,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1202,enhanced_pesq,2.603904331772073,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V13 seed 1200,enhanced_si_sdr,18.16017677714524,results/v14/replication_evaluation/standard/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V13 seed 1201,enhanced_si_sdr,18.24088190597238,results/v14/replication_evaluation/standard/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V13 seed 1202,enhanced_si_sdr,18.239385448613213,results/v14/replication_evaluation/standard/v13_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1200,enhanced_si_sdr,18.22858444405991,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1201,enhanced_si_sdr,18.156346502234634,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V14.2 seed 1202,enhanced_si_sdr,18.22079721122112,results/v14/replication_evaluation/standard/v14_2_aggregate.json,Per-seed aggregate.
03_three_seed_robustness,final,VoiceBank-DEMAND,V13 seed 1200,enhanced_stoi,0.9362283145014165,results/v14/replication_evaluation/standard/v13_aggregate.json,Per-seed aggregate.
